"Name","Image_URL","Description","Role","Difficulty"
"Naafiri","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Naafiri_0.jpg","À travers le désert de Shurima, un concert de hurlements retentit. C'est l'appel des chiens des sables, ces prédateurs voraces qui se déplacent en meutes et luttent pour la moindre source de nourriture de ces terres stériles. Parmi ces meutes, une se...","Assassin","Faible"
"Nami","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nami_0.jpg","Jeune Vastaya des mers, Nami fut la première de la tribu des Marai à quitter les océans et à s'aventurer sur la terre ferme lorsque leur accord ancestral avec les Targoniens fut rompu. Convaincue qu'il n'y avait pas d'autre solution, elle a décidé de...","Support / Mage","Modérée"
"Nasus","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nasus_0.jpg","Nasus est un imposant Transfiguré à tête de chacal, une figure héroïque que les peuples du désert considéraient comme un demi-dieu aux temps anciens de Shurima. Il était très intelligent ; son savoir encyclopédique et son extraordinaire sens stratégique...","Combattant / Tank","Modérée"
"Nautilus","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nautilus_0.jpg","Nautilus, une légende plus ancienne encore que la première jetée de Bilgewater, est un titan en armure qui sillonne les eaux sombres au large des Îles de la Flamme Bleue. Trahi il y a bien longtemps de cela, il frappe désormais sans prévenir, se servant...","Tank / Support","Modérée"
"Neeko","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Neeko_0.jpg","Originaire d'une tribu disparue de Vastayas, Neeko est capable de se fondre dans n'importe quelle foule en empruntant l'apparence des autres, allant même jusqu'à absorber un soupçon de leur état émotionnel pour différencier un instant les amis des...","Mage / Support","Modérée"
"Nidalee","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nidalee_0.jpg","Élevée au plus profond de la jungle, Nidalee est une pisteuse d'exception qui peut se transformer à volonté en couguar. Ni totalement femme, ni totalement bête, elle défend férocement son territoire contre tous ceux qui veulent y pénétrer avec ses...","Assassin / Mage","Élevée"
"Nilah","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nilah_0.jpg","Nilah est une guerrière disciplinée originaire d'une contrée lointaine. Elle traque les monstres les plus gigantesques et les plus dangereux pour les affronter et les détruire. Elle a obtenu son pouvoir du démon de la joie, emprisonné il y a bien...","Combattant / Assassin","Élevée"
"Nocturne","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nocturne_0.jpg","Expression démoniaque des cauchemars qui hantent tous les êtres doués d'intelligence, la chose que l'on nomme Nocturne est devenue une force primordiale du mal. D'aspect liquide, c'est une ombre sans visage, au regard glacial, armée de lames effrayantes...","Assassin / Combattant","Modérée"
"Nunu et Willump","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Nunu_0.jpg","Il était une fois un jeune garçon qui voulait prouver qu'il était un héros en tuant un monstre effrayant, mais il découvrit que la créature, un yéti solitaire, avait seulement besoin d'un ami. Rapprochés par une puissance ancienne et un amour partagé...","Tank / Combattant","Modérée"
"Olaf","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Olaf_0.jpg","Olaf, avec sa hache et son extraordinaire force de destruction, ne souhaite que mourir au combat. Venu de l'âpre péninsule freljordienne de Lokfar, il a été choqué par une prophétie qui lui prédisait une mort paisible : dans l'esprit de son peuple, une...","Combattant / Tank","Faible"
"Orianna","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Orianna_0.jpg","Autrefois une jeune fille curieuse, de chair et d'os, Orianna est aujourd'hui une merveille de technologie entièrement mécanisée. Elle est tombée gravement malade à la suite d'un accident dans les quartiers inférieurs de Zaun, et son corps défaillant a...","Mage / Support","Modérée"
"Ornn","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ornn_0.jpg","Ornn est le demi-dieu de la forge et de l'artisanat à Freljord. Avec comme seule compagne la solitude, il travaille dans sa forge enfouie au plus profond des cavernes de lave de l'Âtre-foyer. C'est là qu'il fond et purifie les métaux nécessaires à la...","Tank / Combattant","Modérée"
"Pantheon","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Pantheon_0.jpg","Autrefois l'hôte réticent de la Manifestation de la Guerre, Atreus a survécu à la mort de la puissance céleste qui l'habitait, refusant de succomber au coup qui arracha les étoiles mêmes des cieux. Avec le temps, il apprit à accepter le pouvoir de sa...","Combattant / Assassin","Modérée"
"Poppy","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Poppy_0.jpg","Runeterra ne manque pas de braves champions, mais peu peuvent se targuer d'être aussi tenaces que Poppy. Armée du légendaire marteau d'Orlon, faisant deux fois sa taille, cette yordle déterminée cherche depuis d'innombrables années le « héros de...","Tank / Combattant","Modérée"
"Pyke","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Pyke_0.jpg","Harponneur renommé des quais-abattoirs de Bilgewater, Pyke aurait dû trouver la mort dans le ventre d'une énorme créature marine… et pourtant, il est revenu. À présent, il écume les ruelles sombres de son ancien port d'attache, utilisant ses dons...","Support / Assassin","Modérée"
"Qiyana","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Qiyana_0.jpg","Dans la ville d'Ixaocan, perdue dans la jungle, Qiyana complote pour obtenir au prix du sang le siège révéré des Yun Tal. Dernière dans l'ordre de la succession, elle affronte ceux qui sont sur son chemin avec une absolue confiance en elle et une...","Assassin / Combattant","Élevée"
"Quinn","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Quinn_0.jpg","Quinn est un chevalier-éclaireur d'élite de Demacia qui se spécialise dans les missions d'infiltration en territoire ennemi. Avec son aigle de légende, Valor, elle forme un duo inséparable dont les proies rendent souvent l'âme avant même de comprendre...","Tireur / Assassin","Modérée"
"Rakan","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Rakan_0.jpg","Aussi lunatique qu'il est charmeur, Rakan est un trublion vastaya tristement célèbre, et le plus grand danseur guerrier de l'histoire de la tribu Lhotla. Pour les humains qui vivent dans les hautes terres d'Ionia, son nom est depuis longtemps synonyme...","Support","Modérée"
"Rammus","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Rammus_0.jpg","Beaucoup l'idolâtrent, certains le méprisent, mais tous restent perplexes devant l'énigmatique Rammus. Protégé par une carapace cloutée, il inspire des théories de plus en plus variées sur ses origines : demi-dieu, oracle, simple bête transformée par la...","Tank / Combattant","Modérée"
"Rek'Sai","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/RekSai_0.jpg","Rek'Sai est une créature prédatrice – la plus imposante et la plus féroce de son espèce – qui se déplace sous terre pour surprendre ses proies. Sa faim insatiable a ravagé des régions entières de Shurima à l'époque où cet empire était encore florissant...","Combattant","Faible"
"Rell","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Rell_0.jpg","Changée en arme vivante par les expériences brutales de l'académie de la Rose noire, Rell est aujourd'hui déterminée à détruire Noxus. Son enfance a été particulièrement horrible ; on lui a fait subir des choses atroces afin de perfectionner ses...","Tank / Support","Faible"
"Renata Glasc","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Renata_0.jpg","Renata Glasc s'extirpa des cendres de sa maison natale avec son nom et les recherches alchimiques de ses parents pour seules possessions. Au cours des décennies suivantes, elle devint la Baronne de la chimie la plus riche de Zaun et un génie des...","Support / Mage","Élevée"
"Renekton","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Renekton_0.jpg","Originaire du désert brûlant de Shurima, Renekton est un Transfiguré terrifiant animé par la rage. Il était autrefois le guerrier le plus respecté de l'empire de Shurima, dont il avait mené les armées vers la victoire à maintes reprises. Cependant...","Combattant / Tank","Faible"
"Rengar","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Rengar_0.jpg","Rengar est un féroce Vastaya chasseur de trophées qui ne vit que pour le frisson de la traque et de l'élimination des proies les plus dangereuses. Il parcourt le monde à la recherche des bêtes les plus féroces, et surtout de Kha'Zix, la créature du...","Assassin / Combattant","Élevée"
"Riven","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Riven_0.jpg","Autrefois soldat d'un régiment de Noxus, Riven est désormais expatriée dans un pays qu'elle avait elle-même tenté d'envahir. Elle s'est naguère élevée dans la hiérarchie grâce à sa force de conviction et à son efficacité brutale : sa récompense fut de...","Combattant / Assassin","Élevée"
"Rumble","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Rumble_0.jpg","Rumble est un jeune inventeur soupe au lait. Ne disposant que de ses deux mains et d'une pile de ferraille, le yordle au tempérament de feu se fabriqua une colossale armure mécanique, dotée d'un arsenal de harpons électrifiés et de roquettes...","Combattant / Mage","Élevée"
"Ryze","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ryze_0.jpg","Largement considéré comme l'un des plus puissants sorciers de Runeterra, Ryze est un archimage endurci par les ans qui porte un fardeau incommensurable sur ses épaules. Armé d'une constitution à toute épreuve et d'un vaste arsenal de connaissances...","Mage / Combattant","Modérée"
"Samira","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Samira_0.jpg","Toujours en quête de sensations fortes, Samira regarde la mort dans les yeux avec une confiance inébranlable. Après la destruction qui a frappé son foyer shurimien lorsqu'elle était enfant, Samira a trouvé sa véritable vocation à Noxus, où elle s'est...","Tireur","Modérée"
"Sejuani","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sejuani_0.jpg","Sejuani est l'impitoyable chef de guerre sublimée de la Griffe hivernale, l'une des tribus les plus redoutées de Freljord. La survie de son peuple est une lutte constante et désespérée contre les éléments. Pour résister aux rigueurs de l'hiver, il doit...","Tank / Combattant","Modérée"
"Senna","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Senna_0.jpg","Condamnée dès l'enfance à être hantée par la mystérieuse Brume noire, Senna rejoignit un ordre sacré connu sous le nom des Sentinelles de la lumière. Elle combattit vaillamment, avant de périr sous les coups du cruel spectre Thresh et de voir son âme...","Tireur / Support","Modérée"
"Sett","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sett_0.jpg","Sett s'est imposé en tant que chef du monde criminel florissant d'Ionia après la guerre contre Noxus. Bien qu'il ait fait ses débuts de manière modeste dans les arènes de combat de Navori, il s'est rapidement fait une réputation pour sa force sauvage et...","Combattant / Tank","Faible"
"Shaco","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Shaco_0.jpg","Fabriqué il y a longtemps pour servir de jouet à un prince qui se sentait seul, Shaco est une marionnette enchantée qui se repaît désormais de meurtres et de chaos. Corrompu par la magie noire et la perte de sa chère mission, le pantin autrefois gentil...","Assassin","Élevée"
"Shen","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Shen_0.jpg","Shen, l'Œil du crépuscule, est le chef d'un groupe secret de guerriers ioniens connu sous le nom de Kinkou. Désireux d'échapper aux méfaits des émotions, des préjugés et de l'ego, il porte un regard désintéressé sur les choses en arpentant le chemin...","Tank","Modérée"
"Shyvana","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Shyvana_0.jpg","Shyvana est une créature dont le cœur palpite au rythme brûlant d'un éclat de rune magique. Bien qu'elle paraisse souvent humanoïde, elle peut se transformer à volonté en un terrifiant dragon, crachant des flammes sur ses ennemis. Après avoir sauvé la...","Combattant / Tank","Modérée"
"Singed","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Singed_0.jpg","Singed est un chimiste zaunien d'une intelligence exceptionnelle, prêt à tout pour repousser les limites de la connaissance, y compris y perdre sa santé mentale. Sa folie répond-elle à une logique ? Ses décoctions ont généralement l'effet escompté, mais...","Tank / Combattant","Modérée"
"Sion","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sion_0.jpg","Guerrier sanguinaire d'une époque révolue, Sion était célébré comme un héros à Noxus, pour avoir étouffé un roi de Demacia de ses mains nues. Il était l'objet d'une telle dévotion qu'on lui refusa le repos éternel, en le ramenant à la vie pour continuer...","Tank / Combattant","Modérée"
"Sivir","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sivir_0.jpg","Sivir est une célèbre chasseuse de trésors et capitaine de mercenaires œuvrant dans le désert de Shurima. Armée de sa légendaire lame en croix, elle a triomphé d'innombrables batailles pour les clients prêts à honorer ses tarifs exorbitants. Connue pour...","Tireur","Modérée"
"Skarner","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Skarner_0.jpg","L'antique Brackern Skarner est vénéré à Ixtal comme l'un des membres fondateurs de la caste dirigeante, les Yun Tal. Il protège farouchement sa nation du reste du monde en écoutant les vibrations de la terre pour détecter de potentielles menaces depuis...","Combattant / Tank","Modérée"
"Smolder","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Smolder_0.jpg","Caché dans les falaises escarpées de la frontière noxienne et attentivement surveillé par sa mère, un jeune dragon apprend ce que signifie être l'héritier de la lignée impériale des dragons camavoriens. Joueur et impatient de grandir, Smolder est prêt à...","Tireur","Modérée"
"Sona","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sona_0.jpg","Sona est la plus grande virtuose de l'etwahl de Demacia, ne s'exprimant que par ses accords vibrants et gracieux. Ses manières distinguées lui valent d'être appréciée par l'aristocratie, bien que beaucoup soupçonnent ses mélodies envoûtantes de...","Support / Mage","Modérée"
"Soraka","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Soraka_0.jpg","Voyageuse originaire de dimensions célestes d'au-delà du Mont Targon, Soraka a abandonné son immortalité pour protéger les mortels de leurs instincts violents. Elle cherche à pousser tous ceux qu'elle rencontre à embrasser les vertus de la compassion et...","Support / Mage","Faible"
"Swain","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Swain_0.jpg","Jericho Swain est le chef visionnaire de Noxus, une nation expansionniste qui ne respecte que la force. Bien que déchu et blessé pendant les guerres ioniennes, il a pris le contrôle de l'empire avec une féroce détermination… Et une nouvelle main...","Mage / Combattant","Élevée"
"Sylas","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Sylas_0.jpg","Élevé dans l'un des quartiers les plus pauvres de Demacia, Sylas de Liebourg est devenu le symbole du côté obscur de la Grande cité. Enfant, sa capacité à déceler la sorcellerie cachée attira l'attention des tristement célèbres traqueurs de mages, qui...","Mage / Assassin","Modérée"
"Syndra","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Syndra_0.jpg","Syndra est une effrayante magicienne originaire d'Ionia, aux pouvoirs impressionnants. Enfant, elle perturba les anciens de son village avec sa magie sauvage et incontrôlée. Elle fut confiée à un maître dans l'espoir qu'elle apprendrait à se contrôler...","Mage","Élevée"
"Séraphine","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Seraphine_0.jpg","Née à Piltover de parents zauniens, Séraphine peut entendre les âmes des autres. Le monde chante pour elle et elle chante pour le monde. Alors que ces sons l'accablaient dans sa jeunesse, elle s'en inspire aujourd'hui et transforme le chaos en symphonie...","Mage / Support","Faible"
"Tahm Kench","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/TahmKench_0.jpg","Au fil du temps, on lui a donné de nombreux noms. Le démon Tahm Kench voyage dans les cours d'eau de Runeterra, nourrissant son insatiable appétit de la misère des autres. Bien qu'il puisse sembler particulièrement charmant et fier, il rôde dans le...","Support / Tank","Modérée"
"Taliyah","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Taliyah_0.jpg","Taliyah est une mage issue des tribus nomades de Shurima, déchirée entre l'émerveillement de la jeunesse et les responsabilités des adultes. Elle a déjà traversé pratiquement tout Valoran pour découvrir la véritable nature de ses pouvoirs toujours plus...","Mage / Support","Modérée"
"Talon","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Talon_0.jpg","Talon est la dague cachée dans l'ombre, un assassin impitoyable, capable de frapper sans prévenir et de fuir avant que l'alerte ne soit donnée. Il a acquis une dangereuse réputation dans les brutales rues de Noxus, où il a été contraint de se battre, de...","Assassin","Modérée"
"Taric","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Taric_0.jpg","Taric est la Manifestation du Protecteur, doté d'un incroyable pouvoir en tant que gardien de la vie, de l'amour et de la beauté sur Runeterra. Couvert d'opprobre pour avoir abandonné son devoir et exilé de sa terre natale de Demacia, Taric a entrepris...","Support / Combattant","Faible"
"Teemo","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Teemo_0.jpg","N'ayant pas peur de braver les obstacles les plus dangereux, Teemo explore le monde avec un enthousiasme débordant et une bonne humeur contagieuse. Yordle au sens moral inflexible, il suit fièrement les préceptes du Code des éclaireurs de Bandle...","Tireur / Assassin","Modérée"
"Thresh","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Thresh_0.jpg","Sadique mais rusé, Thresh est un ambitieux esprit des Îles obscures. Autrefois le gardien d'innombrables secrets des arcanes, il fut terrassé par un pouvoir plus grand que la vie ou la mort, et il s'alimente maintenant des souffrances et des tourments...","Support / Combattant","Modérée"
"Tristana","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Tristana_0.jpg","Si bon nombre d'autres yordles utilisent leur énergie débordante pour explorer, découvrir, inventer ou plus simplement jouer de mauvais tours, Tristana a toujours puisé son inspiration dans les récits des grands guerriers. Elle avait beaucoup entendu...","Tireur / Assassin","Modérée"
"Trundle","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Trundle_0.jpg","Trundle est un troll massif, sournois et malicieux. Il n'y a rien qu'il ne puisse soumettre à sa volonté avec son gourdin, pas même Freljord. Extrêmement territorial, Trundle traque tous ceux qui sont assez fous pour pénétrer sur ses terres. Ensuite...","Combattant / Tank","Modérée"
"Tryndamere","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Tryndamere_0.jpg","Poussé par une rage infinie, Tryndamere traverse Freljord et parfait sa maîtrise du combat en défiant les plus grands guerriers du nord, pour se préparer aux jours sombres qui s'annoncent. Longtemps dominé par sa haine, il cherchait à se venger de...","Combattant / Assassin","Modérée"
"Twisted Fate","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/TwistedFate_0.jpg","Twisted Fate est un virtuose des cartes à la réputation ambiguë qui a parcouru le monde entier pour l'éblouir de son charme et de ses talents, s'attirant l'admiration et la haine des riches comme des pigeons. Il prend rarement les choses au sérieux...","Mage","Élevée"
"Twitch","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Twitch_0.jpg","Rat de Zaun, pesteux de naissance, connaisseur en saleté par passion, Twitch n'a pas peur de se salir les pattes. Armé d'une arbalète chimique qu'il pointe droit sur le cœur de Piltover, Twitch s'est juré de montrer aux gens de la surface à quel point...","Tireur / Assassin","Modérée"
"Udyr","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Udyr_0.jpg","Udyr est le plus puissant des Gardiens des esprits, il communie avec l'ensemble des esprits qui habitent Freljord. Il comprend leurs besoins avec empathie et il est capable de canaliser et de transformer leur énergie éthérée pour alimenter son propre...","Combattant / Tank","Modérée"
"Urgot","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Urgot_0.jpg","Autrefois, Urgot était un puissant bourreau noxien. Il fut trahi par l'empire pour lequel il avait tant tué. Ceint de chaînes de fer, il fut contraint d'apprendre le vrai sens de la force dans les Oubliettes, une mine de forçats située dans les...","Combattant / Tank","Élevée"
"Varus","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Varus_0.jpg","Membre de la race antique des Darkin, Varus était en son temps un assassin cruel qui aimait torturer ses ennemis, les conduisant jusqu'aux portes de la folie avant de les achever d'une flèche. À la fin de la Guerre des Darkin, il fut emprisonné. Des...","Tireur / Mage","Faible"
"Vayne","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Vayne_0.jpg","Shauna Vayne est une chasseuse de monstres mortelle et sans scrupule. Originaire de Demacia, elle voue sa vie à la destruction du démon qui a assassiné sa famille. Armée d'une arbalète montée sur son poignet et dotée d'un cœur rongé par le désir de...","Tireur / Assassin","Élevée"
"Veigar","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Veigar_0.jpg","Maître enthousiaste de la magie noire, Veigar s'est approprié des pouvoirs que peu de mortels osent approcher. Habitant de Bandle à l'esprit libre, il veut repousser les limites de la magie yordle et se tourner vers les textes arcaniques qui sont restés...","Mage","Modérée"
"Vel'Koz","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Velkoz_0.jpg","On ne sait pas trop si Vel'Koz fut le premier monstre du Néant à émerger à Runeterra, mais il est certain qu'aucun autre n'a jamais égalé la froideur calculatrice de sa cruauté. Alors que ses semblables dévorent ou profanent tout ce qui les entoure, il...","Mage","Élevée"
"Vex","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Vex_0.jpg","Au cœur des terribles Îles obscures et de leur brume spectrale, une yordle solitaire se complaît dans son malheur. Vex se protège de la gaieté, de l'excitation et des gens « normaux » dont le monde extérieur regorge grâce à une dose inépuisable...","Mage","Faible"
"Vi","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Vi_0.jpg","Autrefois criminelle des quartiers louches de Zaun, Vi est une femme sans peur, mais pas sans reproche, au tempérament bouillant, impulsive, qui n'a qu'un respect mesuré pour les représentants de l'autorité. Vi a grandi seule et a développé d'excellents...","Combattant / Assassin","Modérée"
"Viego","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Viego_0.jpg","Autrefois souverain d'un royaume perdu depuis longtemps, Viego mourut il y a plus de mille ans lorsqu'il tenta de ramener sa femme d'entre les morts. Cela causa la catastrophe magique connue sous le nom de la Ruine. Devenu un puissant spectre torturé...","Assassin / Combattant","Modérée"
"Viktor","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Viktor_0.jpg","Héraut d'un nouvel âge de technologie, Viktor a consacré sa vie aux progrès de l'humanité. Idéaliste cherchant à hisser le peuple de Zaun à de nouveaux sommets de compréhension, il pense que le potentiel de l'humanité ne pourra être réalisé que par le...","Mage","Élevée"
"Vladimir","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Vladimir_0.jpg","Assoiffé de sang humain, Vladimir influe sur la politique de Noxus depuis les premiers jours de l'empire. En plus d'allonger surnaturellement sa vie, sa maîtrise de l'hémomancie lui permet de contrôler les esprits et les corps des autres aussi aisément...","Mage","Modérée"
"Volibear","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Volibear_0.jpg","Pour ceux qui le vénèrent encore, Volibear est l'incarnation de la tempête. Destructeur, sauvage et déterminé, il existait bien avant que les mortels n'arpentent la toundra de Freljord ; désormais, il défend férocement les terres qu'il a créées avec sa...","Combattant / Tank","Faible"
"Warwick","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Warwick_0.jpg","Warwick est un monstre qui chasse dans les rues grisâtres de Zaun. Transformé par des expériences horribles, son corps est désormais muni d'un système intriqué de chambres et de pompes qui injecte une rage alchimique dans ses veines. Surgissant des...","Combattant / Tank","Faible"
"Wukong","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/MonkeyKing_0.jpg","Wukong est un Vastaya qui utilise sa force, son agilité et son intelligence pour semer la confusion parmi ses adversaires et prendre sur eux l'avantage. Après s'être fait un ami en la personne d'un guerrier nommé Maître Yi, Wukong est devenu le dernier...","Combattant / Tank","Faible"
"Xayah","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Xayah_0.jpg","Précise et meurtrière, Xayah est une révolutionnaire vastaya menant une guerre personnelle dans le but de sauver son peuple. Elle se sert de sa célérité, de sa ruse et de ses plumes tranchantes comme des rasoirs pour terrasser tous ceux qui se dressent...","Tireur","Modérée"
"Xerath","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Xerath_0.jpg","Xerath est un mage transfiguré de la Shurima antique, un être d'énergie arcanique habitant les fragments détruits d'un sarcophage magique. Pendant des millénaires, il est resté prisonnier des sables du désert, mais le retour de Shurima l'a libéré de sa...","Mage","Élevée"
"Xin Zhao","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/XinZhao_0.jpg","Xin Zhao est un guerrier résolu qui sert fidèlement la dynastie régnante des Lightshield. Naguère condamné à se battre dans les arènes de combat de Noxus, il survécut à d'innombrables rencontres de gladiateurs. Mais après avoir été libéré par les forces...","Combattant / Assassin","Faible"
"Yasuo","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Yasuo_0.jpg","L'Ionien Yasuo est un épéiste agile et résolu, capable de déchaîner contre ses ennemis la puissance de l'air. Alors qu'il était encore un jeune homme fier, il fut accusé à tort d'avoir assassiné son maître. Incapable de prouver son innocence, il dut...","Combattant / Assassin","Élevée"
"Yone","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Yone_0.jpg","Au cours de sa vie, Yone fut le demi-frère de Yasuo et un disciple renommé de l'école d'armes de son village. Mais après avoir été tué par son propre frère, il se retrouva hanté par une entité malveillante dans le royaume spirituel. Il dut la tuer avec...","Assassin / Combattant","Élevée"
"Yorick","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Yorick_0.jpg","Yorick est le dernier survivant d'un ordre religieux disparu depuis longtemps et son pouvoir sur les morts est à la fois une bénédiction et une malédiction. Prisonnier des Îles obscures, il n'a pour compagnons que les cadavres pourrissants et les...","Combattant / Tank","Modérée"
"Yuumi","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Yuumi_0.jpg","Originaire de Bandle, Yuumi est un familier magique dont la maîtresse, une enchanteresse yordle du nom de Norra, a mystérieusement disparu. Yuumi est désormais la gardienne du Grimoire des Seuils que possédait Norra, un livre permettant de franchir des...","Support / Mage","Faible"
"Zac","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zac_0.jpg","Zac est le produit d'une fuite toxique qui, dégoulinant par une veine techno-chimique, se transforma en bassin dans une profonde caverne du Puisard de Zaun. En dépit de ses humbles origines, Zac a évolué pour passer du stade de dépôt primordial à celui...","Tank / Combattant","Élevée"
"Zed","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zed_0.jpg","L'impitoyable Zed est le maître de l'Ordre de l'ombre, une organisation qu'il a créée dans l'intention de militariser la tradition des arts martiaux d'Ionia et de chasser enfin les envahisseurs noxiens. Pendant la guerre, le désespoir le conduisit à...","Assassin","Modérée"
"Zeri","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zeri_0.jpg","Zeri est une jeune femme vive et téméraire originaire des quartiers défavorisés de Zaun. Elle canalise son électricité intérieure afin de la charger dans un fusil conçu spécialement pour elle. Son pouvoir magique est le reflet de ses émotions, et ses...","Tireur","Modérée"
"Ziggs","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ziggs_0.jpg","Amoureux des grosses bombes et des mèches courtes, le yordle Ziggs est une force de la nature explosive. Assistant d'un inventeur de Piltover, il finit par se lasser de sa vie routinière et devint l'ami d'une jeune fille imprévisible et portée sur les...","Mage","Modérée"
"Zilean","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zilean_0.jpg","Naguère puissant mage d'Icathia, Zilean devint obsédé par le passage du temps après avoir assisté à la destruction de sa terre natale par le Néant. Refusant de perdre une minute à pleurer sur les décombres, il fit appel à une antique force magique...","Support / Mage","Modérée"
"Zoé","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zoe_0.jpg","Incarnation de l'espièglerie, de l'imagination et de l'inconstance, Zoé est une messagère cosmique de Targon, annonciatrice des grands événements qui chamboulent les mondes. Sa simple présence distord les règles mathématiques qui gouvernent dans l'ombre...","Mage / Support","Modérée"
"Zyra","https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Zyra_0.jpg","Née au cours d'une ancienne catastrophe magique, Zyra est la colère de la nature incarnée : mélange de plante et d'humain, faisant émerger de nouvelles pousses à chaque pas. Elle considère les nombreux mortels de Valoran comme de simples proies pour sa...","Mage / Support","Modérée"
